ObservedAgentID;CounterpartyID;EnterpriseNationalIDflag;ENI;NatIdType;LEI;RACI;BCI;NPNI;HeadOfficeUndertakingID;ImmediateParentUndertakingID;UltimateParentUndertakingID;TypeofEntity;Enterprise;Name;Firstname;Lastname;Birthdate;Street;Streetnumber;City;NUTS;Postalcode;Country;Legalform;InstitutionalSector;EconomicActivity;StatusOfLegalProceedings;DateOfInitiationOfLegalProceedings;EnterpriseSize;DateOfEnterpriseSize;NumberOfEmployees;BalanceSheetTotal;AnnualTurnover;ProbabilityOfDefault;DefaultStatusOfTheCounterpartyAnaCredit;DateOfTheDefaultStatusOfTheCounterpartyAnaCredit
6305574;6305090;1;462920226;BE_OND_CD;NotApplicable;6305090;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305092;1;323317032;FR_SIREN_CD;969500IKNV38EK1P8O50;6305092;;;NotRequired;NotRequired;NotRequired;LE;Y;ROTHSCHILD MARTIN MAUREL;;;;29 AVENUE DE MESSINE;;PARIS;FR101;75008;FR;FR5306;S122_A;64_30;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6305094;1;203201340;BE_OND_CD;NotApplicable;6305094;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305234;1;823129528;BE_OND_CD;967600GMGHUW52KNB022;6305234;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305403;1;B164067;LU_RCS_CD;529900CAZ40JSU39C209;6305403;;;NotRequired;NotRequired;NotRequired;LE;Y;LAVOREL GROUPE SA;;;;41 AVENUE DE LA GARE;;LUXEMBOURG;LU000;1611;LU;EU100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6305425;1;440250421;FR_SIREN_CD;549300EZRTRJ7YECKC95;6305425;;;NotRequired;NotRequired;NotRequired;LE;Y;SAPHIR;;;;33 RUE NICOLO;;PARIS;FR101;75116;FR;FR5710;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6305574;1;877996092;BE_OND_CD;NotApplicable;6305574;;;6305092;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305579;1;512481797;FR_SIREN_CD;9695006BYQI8SOCLYM23;6305579;;;NotRequired;NotRequired;NotRequired;LE;Y;LORKA;;;;12 RUE NOTRE DAME DES VICTOIRES;;PARIS;FR101;75002;FR;FR5499;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6305674;1;567701111;BE_OND_CD;9676005T4NRY57RIT148;6305674;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305749;1;507604562;BE_OND_CD;967600OYNPR1KIV6IR11;6305749;;;NotRequired;NotRequired;NotRequired;LE;Y; ;;;; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305972;1;B135775;LU_RCS_CD;967600TZ4XI8JIYAF244;6305972;;;NotRequired;NotRequired;NotRequired;LE;Y;DF3I SA;;;;12 C RUE GUILLAUME J. KROLL;;LUXEMBOURG;LU000;1882;LU;EU100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306027;1;542016381;FR_SIREN_CD;N4JDFKKH2FTD8RKFXO39;6306027;;;NotRequired;NotRequired;NotRequired;LE;Y;CM-CIC SECURITIES;;;;6 AVENUE DE PROVENCE;;PARIS;FR101;75009;FR;FR5599;S122_A;66_12;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306177;1;522122563;FR_SIREN_CD;967600RMD9F5CVYMPK70;6306177;;;NotRequired;NotRequired;NotRequired;LE;Y;NLT 45;;;;27 AVENUE BERNARD PALISSY;;SAINT-CLOUD;FR105;92210;FR;FR5710;S11;70_22;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306310;1;B108295;LU_RCS_CD;5493001MQ3V3NE3GKW06;6306310;;;NotRequired;NotRequired;NotRequired;LE;Y;CB LUX SARL-FIS;;;;15 BOULEVARD F.W. RAIFFEISEN;;LUXEMBOURG;LU000;2411;LU;LU03;S11;64_30;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306455;1;B16593105;ES_NIF_CD;NotApplicable;6306455;;;6305674;NotRequired;NotRequired;LE;Y;EXTEND MINORQUE SL;;;;PLAZA CARMEN 15;;MAHON;ES533;7701;ES;ESC07;S11;68_10;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
